Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-19NOV25-2800-C,-,-,,0.04979,-3.02954,0.0508,0.00024,,0.98482,-,-,-,-,0.1032,-,-,-
ETH-19NOV25-2800-P,1047,1827,,-0.00087,-0.86796,0.0508,0.00024,,-0.01518,0.001,1119,113.95,0.0002,0.0003,0.0004,125.91,21
ETH-19NOV25-2900-C,-,-,,0.04987,-6.52877,0.12631,0.00069,,0.95479,-,18,-,0.0415,0.0717,0.1,353.58,18
ETH-19NOV25-2900-P,975,1454,,-0.00258,-2.59427,0.12547,0.00069,,-0.04483,0.0012,902,100.18,0.0007,0.0008,0.0011,109.73,98
ETH-19NOV25-2925-C,-,-,,0.04946,-7.90805,0.15872,0.0009,,0.93973,-,18,-,0.041,0.064,0.088,307.42,18
ETH-19NOV25-2925-P,137,97,,-0.00347,-3.4932,0.15872,0.0009,,-0.06027,0.0012,793,97.24,0.001,0.0011,0.0014,104.86,81
ETH-19NOV25-2950-C,99,83,,0.04875,-9.51186,0.19823,0.00117,,0.91954,0.0265,182,-,0.039,0.0564,0.066,189.24,18
ETH-19NOV25-2950-P,630,763,,-0.00458,-4.73001,0.19656,0.00116,,-0.07954,0.002,750,94.44,0.0014,0.0015,0.0018,100.61,7
ETH-19NOV25-2975-C,812,791,,0.04765,-11.32212,0.24527,0.00151,,0.89267,0.047,18,55.25,0.047,0.0489,0.051,115.44,756
ETH-19NOV25-2975-P,724,658,,-0.00616,-6.42638,0.24479,0.0015,,-0.10703,0.0026,121,91.66,0.002,0.0021,0.0024,96.62,21
ETH-19NOV25-3000-C,555,520,,0.04596,-13.4977,0.30197,0.00192,,0.85545,0.037,111,69.07,0.04,0.0417,0.0435,106.56,91
ETH-19NOV25-3000-P,957,1238,,-0.00833,-8.95883,0.30197,0.00192,,-0.14455,0.0039,100,88.67,0.0028,0.0029,0.0032,92.74,7
ETH-19NOV25-3025-C,87,68,,0.04361,-15.76301,0.3637,0.00238,,0.80704,0.032,18,-,0.0275,0.0348,0.039,119.26,24
ETH-19NOV25-3025-P,249,207,,-0.01102,-12.49212,0.36161,0.00237,,-0.19107,0.0048,100,86.24,0.0039,0.004,0.0043,89.65,1
ETH-19NOV25-3050-C,2358,1732,,0.0405,-17.96339,0.42584,0.00286,,0.74554,0.025,18,73.99,0.027,0.0284,0.0305,99.46,18
