Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-25SEP26-1500-C,6,4,,9.69819,-0.54132,4.30362,0.00006,,0.92312,0.561,10,77.57,0.57,0.5707,0.5725,79.44,18
ETH-25SEP26-1500-P,122,2894,,-3.0661,-0.54132,4.30362,0.00006,,-0.07688,0.0395,85,77.74,0.034,0.0345,0.0355,78.86,574
ETH-25SEP26-2000-C,-,137,,10.87426,-0.82874,6.9092,0.0001,,0.85152,0.45,10,73.85,0.455,0.4564,0.458,75.25,18
ETH-25SEP26-2000-P,7,4703,,-6.14469,-0.82873,6.90916,0.0001,,-0.14847,0.0875,40,74.14,0.074,0.0748,0.0765,75.31,206
ETH-25SEP26-2400-C,-,1,,11.07661,-1.03202,8.78246,0.00014,,0.78223,0.436,28,72.53,0.3785,0.3798,0.3815,73.63,18
ETH-25SEP26-2400-P,1,77,,-9.34642,-1.03203,8.78248,0.00014,,-0.21777,0.137,43,72.51,0.1205,0.1218,0.1235,73.61,18
ETH-25SEP26-2500-C,-,6,,11.04978,-1.07547,9.18943,0.00014,,0.76402,0.3585,59,72.16,0.361,0.3625,0.3645,73.39,28
ETH-25SEP26-2500-P,16,3294,,-10.2239,-1.07547,9.18942,0.00014,,-0.23597,0.143,67,72.17,0.134,0.1355,0.137,73.23,18
ETH-25SEP26-2600-C,-,10,,10.99209,-1.11665,9.56803,0.00015,,0.74563,0.354,28,72.08,0.345,0.3463,0.3485,73.26,18
ETH-25SEP26-2600-P,7,13,,-11.13252,-1.11665,9.56803,0.00015,,-0.25436,0.153,141,71.95,0.1485,0.1501,0.152,73.13,18
ETH-25SEP26-2800-C,-,10,,10.80945,-1.18934,10.23479,0.00016,,0.70867,0.358,55,71.74,0.3145,0.3159,0.318,72.84,18
ETH-25SEP26-2800-P,12,716,,-13.01742,-1.18933,10.23477,0.00016,,-0.29134,0.198,147,71.67,0.18,0.1816,0.183,72.62,18
ETH-25SEP26-3000-C,-,82,,10.55376,-1.24918,10.77929,0.00017,,0.67195,0.2935,79,71.54,0.287,0.2885,0.2905,72.59,18
ETH-25SEP26-3000-P,282,3399,,-14.97502,-1.24918,10.77924,0.00017,,-0.32806,0.23,96,71.53,0.2145,0.216,0.218,72.58,48
ETH-25SEP26-3200-C,2,475,,10.24445,-1.29647,11.20484,0.00018,,0.63593,0.257,23,71.53,0.2625,0.2637,0.2655,72.39,18
ETH-25SEP26-3200-P,31,1312,,-16.98606,-1.29647,11.20484,0.00018,,-0.36407,0.279,48,71.27,0.251,0.2531,0.2545,72.28,5
ETH-25SEP26-3400-C,-,71,,9.89767,-1.33215,11.51903,0.00018,,0.60101,0.245,18,71.45,0.24,0.2414,0.2435,72.43,18
ETH-25SEP26-3400-P,-,987,,-19.03454,-1.33216,11.51912,0.00018,,-0.39899,0.284,33,71.25,0.2905,0.2926,0.2945,72.37,38
ETH-25SEP26-3500-C,-,36,,9.71596,-1.3453,11.6382,0.00018,,0.58395,0.2615,115,71.41,0.2295,0.2309,0.233,72.38,18
ETH-25SEP26-3500-P,1,864,,-20.0676,-1.34529,11.6381,0.00018,,-0.41605,0.343,18,71.09,0.3105,0.3131,0.3155,72.48,18
ETH-25SEP26-3600-C,-,79,,9.52823,-1.35647,11.73284,0.00018,,0.56733,0.2285,23,71.51,0.22,0.2211,0.223,72.33,18
ETH-25SEP26-3600-P,-,579,,-21.10608,-1.35647,11.73284,0.00018,,-0.43267,0.3115,18,71.08,0.3315,0.3342,0.3365,72.46,18
ETH-25SEP26-3800-C,2,529,,9.1436,-1.37202,11.85609,0.00019,,0.53526,0.1965,18,71.61,0.202,0.203,0.205,72.42,18
ETH-25SEP26-3800-P,1,682,,-23.19241,-1.37204,11.85622,0.00019,,-0.46474,0.3945,17,71.09,0.375,0.378,0.3805,72.59,18
ETH-25SEP26-4000-C,2,410,,8.75473,-1.37929,11.90188,0.00019,,0.50482,0.179,30,71.79,0.186,0.1867,0.1885,72.47,18
ETH-25SEP26-4000-P,-,152,,-25.2834,-1.37929,11.90188,0.00019,,-0.49518,0.4115,158,70.1,0.4165,0.4235,0.428,73.22,148
ETH-25SEP26-4200-C,-,317,,8.36721,-1.3794,11.88114,0.00019,,0.47605,0.1725,30,71.84,0.171,0.172,0.174,72.66,18
ETH-25SEP26-4200-P,1,519,,-27.37283,-1.3794,11.88114,0.00019,,-0.52395,0.5245,60,70.45,0.4645,0.4706,0.474,72.91,137
ETH-25SEP26-4400-C,-,417,,7.98635,-1.3732,11.80496,0.00018,,0.4489,0.1644,30,72.06,0.158,0.1587,0.1605,72.75,18
ETH-25SEP26-4400-P,-,221,,-29.45579,-1.37318,11.80479,0.00018,,-0.55111,0.5,137,67.96,0.5035,0.5192,0.5325,76.05,137
ETH-25SEP26-4600-C,2,562,,7.61566,-1.36254,11.68313,0.00018,,0.42351,0.1385,30,72.23,0.146,0.1468,0.1485,72.92,18
ETH-25SEP26-4600-P,-,38,,-31.52819,-1.36253,11.68312,0.00018,,-0.57649,0.4015,128,67.84,0.5525,0.5691,0.583,76.29,128
ETH-25SEP26-4800-C,-,523,,7.25845,-1.34814,11.5252,0.00018,,0.3998,0.139,30,72.36,0.135,0.1361,0.1375,73.06,18
ETH-25SEP26-4800-P,-,50,,-33.58711,-1.34816,11.5254,0.00018,,-0.60019,0.6045,120,68.09,0.604,0.6202,0.634,76.53,120
ETH-25SEP26-5000-C,12,1320,,6.91508,-1.33011,11.33765,0.00017,,0.37757,0.1265,48,72.5,0.125,0.1263,0.128,73.36,18
ETH-25SEP26-5000-P,-,1,,-35.63258,-1.3301,11.33764,0.00017,,-0.62243,0.6435,113,68.19,0.656,0.6723,0.686,76.91,113
ETH-25SEP26-5200-C,1,344,,6.58579,-1.30884,11.12612,0.00017,,0.35668,0.1085,30,72.82,0.1165,0.1174,0.119,73.54,18
ETH-25SEP26-5200-P,-,1,,-37.66377,-1.30884,11.12612,0.00017,,-0.64332,0.7,102,36.85,0.6235,0.7252,0.868,112.54,102
ETH-25SEP26-5400-C,2,196,,6.27342,-1.28625,10.89883,0.00017,,0.33732,0.1075,30,73.05,0.1085,0.1094,0.111,73.79,18
ETH-25SEP26-5400-P,-,-,,-39.67823,-1.28622,10.89861,0.00017,,-0.66269,-,97,31.06,0.675,0.779,0.9245,113.77,97
ETH-25SEP26-5500-C,5,5,,6.12436,-1.27492,10.78175,0.00016,,0.32825,0.0995,30,73.09,0.1045,0.1057,0.107,73.84,18
ETH-25SEP26-5500-P,-,-,,-40.67806,-1.27492,10.78175,0.00016,,-0.67175,-,95,24.64,0.7015,0.8063,0.9535,114.54,95
ETH-25SEP26-5600-C,-,902,,5.97873,-1.26292,10.66155,0.00016,,0.31942,0.1025,35,73.22,0.101,0.1022,0.1035,73.98,18
ETH-25SEP26-5600-P,-,-,,-41.67465,-1.26292,10.66155,0.00016,,-0.68058,-,92,-,0.728,0.8337,0.982,115.14,92
ETH-25SEP26-5800-C,-,3957,,5.69867,-1.23802,10.41478,0.00016,,0.30265,0.0986,35,73.5,0.0945,0.0956,0.097,74.28,18
ETH-25SEP26-5800-P,-,-,,-43.65679,-1.238,10.41455,0.00016,,-0.69736,-,88,-,0.781,0.8889,1.04,116.51,88
ETH-25SEP26-6000-C,44,508,,5.4344,-1.21262,10.16371,0.00015,,0.28705,0.086,35,73.76,0.0885,0.0896,0.091,74.56,18
ETH-25SEP26-6000-P,-,-,,-45.62262,-1.21264,10.16394,0.00015,,-0.71294,-,84,-,0.835,0.9447,1.098,117.76,84
ETH-25SEP26-6200-C,-,1051,,5.18235,-1.18574,9.90682,0.00015,,0.2723,0.101,35,74.02,0.083,0.084,0.0855,74.84,18
ETH-25SEP26-6200-P,-,-,,-47.57675,-1.18574,9.90682,0.00015,,-0.7277,-,81,-,0.8895,1.001,1.1565,119.03,81
ETH-25SEP26-6400-C,-,309,,4.94788,-1.15994,9.65453,0.00015,,0.2588,0.076,35,74.29,0.078,0.079,0.0805,75.13,18
ETH-25SEP26-6400-P,-,-,,-49.51313,-1.15994,9.65453,0.00015,,-0.7412,-,78,-,0.9445,1.0578,1.216,120.49,78
ETH-25SEP26-6500-C,2,185,,4.83914,-1.1483,9.53393,0.00014,,0.25264,0.0745,35,74.54,0.076,0.0768,0.078,75.22,18
ETH-25SEP26-6500-P,-,-,,-50.47298,-1.14827,9.5337,0.00014,,-0.74736,-,76,-,0.9725,1.0866,1.246,121.24,76
ETH-25SEP26-6600-C,-,329,,4.72885,-1.13487,9.40688,0.00014,,0.24634,0.089,40,74.59,0.0735,0.0745,0.076,75.45,18
ETH-25SEP26-6600-P,-,-,,-51.43407,-1.13487,9.40688,0.00014,,-0.75366,-,75,-,1,1.1152,1.2755,121.84,75
ETH-25SEP26-6800-C,10,373,,4.52307,-1.11014,9.1632,0.00014,,0.23476,0.067,40,74.94,0.0695,0.0704,0.0715,75.64,18
ETH-25SEP26-6800-P,-,-,,-53.34175,-1.11014,9.1632,0.00014,,-0.76524,-,72,-,1.056,1.1729,1.336,123.38,72
ETH-25SEP26-7000-C,1,258,,4.32849,-1.08529,8.92248,0.00013,,0.22387,0.06,40,75.16,0.0655,0.0666,0.068,76.07,313
ETH-25SEP26-7000-P,-,-,,-55.23823,-1.08529,8.92248,0.00013,,-0.77613,-,70,-,1.112,1.2309,1.396,124.72,70
ETH-25SEP26-7200-C,-,275,,4.14494,-1.06073,8.68627,0.00013,,0.21367,0.075,40,75.65,0.0625,0.0631,0.0645,76.39,338
ETH-25SEP26-7200-P,-,-,,-57.12355,-1.06076,8.6865,0.00013,,-0.78632,-,68,-,1.1685,1.2892,1.457,126.25,68
ETH-25SEP26-7400-C,-,425,,3.97104,-1.03622,8.45399,0.00012,,0.20407,0.062,40,75.84,0.059,0.0598,0.061,76.61,17
ETH-25SEP26-7400-P,-,-,,-58.99936,-1.03625,8.45422,0.00012,,-0.79593,-,66,-,1.2255,1.3478,1.5175,127.58,66
ETH-25SEP26-7500-C,250,317,,3.89048,-1.02508,8.34442,0.00012,,0.19966,0.0545,45,76,0.0575,0.0583,0.0595,76.77,17
ETH-25SEP26-7500-P,-,-,,-59.93101,-1.02508,8.34442,0.00012,,-0.80034,-,65,-,1.254,1.3772,1.5485,128.42,65
ETH-25SEP26-8000-C,-,928,,3.51273,-0.96802,7.80447,0.00011,,0.17911,0.0525,45,76.85,0.051,0.0515,0.0525,77.47,17
ETH-25SEP26-8000-P,-,-,,-64.56353,-0.96802,7.80447,0.00011,,-0.82089,-,60,-,1.397,1.525,1.702,132.03,60
ETH-25SEP26-8500-C,-,786,,3.19063,-0.91632,7.31379,0.00011,,0.16184,0.0475,50,77.64,0.0455,0.0459,0.047,78.31,517
ETH-25SEP26-8500-P,-,-,,-69.14028,-0.91635,7.314,0.00011,,-0.83815,-,56,-,1.5415,1.674,1.8565,135.59,56
ETH-25SEP26-9000-C,13,1134,,2.9074,-0.86683,6.85621,0.0001,,0.14678,0.0395,50,78.23,0.0405,0.0411,0.042,78.94,120
ETH-25SEP26-9000-P,-,-,,-73.67839,-0.86683,6.85621,0.0001,,-0.85322,-,53,-,1.686,1.8239,2.0125,139.29,53
ETH-25SEP26-10000-C,1,949,,2.43373,-0.77471,6.03243,0.00008,,0.12183,0.032,50,79.56,0.033,0.0334,0.0345,80.36,511
ETH-25SEP26-10000-P,-,-,,-82.66159,-0.77471,6.03243,0.00008,,-0.87817,-,47,-,1.9775,2.1253,2.3255,146.29,47
ETH-25SEP26-11000-C,-,1498,,2.06852,-0.69686,5.3459,0.00007,,0.10289,0.0278,20,80.83,0.0275,0.0277,0.0285,81.44,471
ETH-25SEP26-11000-P,-,-,,-91.53625,-0.69688,5.34607,0.00007,,-0.89711,-,42,-,2.2705,2.4288,2.641,153.27,42
ETH-25SEP26-12000-C,-,882,,1.77395,-0.62763,4.75409,0.00007,,0.08774,0.0265,25,81.82,0.023,0.0233,0.024,82.49,115
ETH-25SEP26-12000-P,-,-,,-100.34044,-0.62763,4.75409,0.00007,,-0.91226,-,39,-,2.5645,2.7336,2.958,160.08,39
ETH-25SEP26-13000-C,-,1665,,1.53737,-0.56803,4.25254,0.00006,,0.07568,0.0185,25,82.73,0.0195,0.0198,0.0205,83.49,118
ETH-25SEP26-13000-P,-,-,,-109.08654,-0.56803,4.25254,0.00006,,-0.92432,-,36,-,2.8595,3.0393,3.2765,166.83,36
ETH-25SEP26-14000-C,-,611,,1.34207,-0.51533,3.81841,0.00005,,0.06579,0.0155,40,83.39,0.0165,0.017,0.018,84.65,457
ETH-25SEP26-14000-P,-,-,,-117.79138,-0.51533,3.81841,0.00005,,-0.93421,-,33,-,3.1545,3.3457,3.5955,173.33,33
ETH-25SEP26-15000-C,7,361,,1.17883,-0.46854,3.44019,0.00005,,0.05756,0.014,61,83.91,0.014,0.0147,0.0155,85.32,431
ETH-25SEP26-15000-P,-,-,,-126.46415,-0.46854,3.44019,0.00005,,-0.94244,-,31,-,3.4495,3.6526,3.915,179.65,31
ETH-25SEP26-16000-C,-,1253,,1.0388,-0.42586,3.10309,0.00004,,0.05053,0.0125,25,84.95,0.0125,0.0128,0.0135,85.98,20
ETH-25SEP26-16000-P,-,-,,-135.11371,-0.42586,3.10309,0.00004,,-0.94947,-,29,-,3.745,3.9598,4.2355,185.95,29
