Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-26JUN26-500-C,-,-,,2.9329,-0.05254,0.22689,-,,0.997,-,28,84.17,0.844,0.8447,0.8455,110.22,28
ETH-26JUN26-500-P,-,17732,,-0.07529,-0.05254,0.22689,-,,-0.003,0.0009,1,101.51,0.0009,0.0009,0.0011,104.17,25
ETH-26JUN26-1000-C,-,473,,5.48148,-0.25207,1.24819,0.00002,,0.9791,0.7355,28,85.9,0.6935,0.6945,0.6955,91.06,18
ETH-26JUN26-1000-P,46,2151,,-0.5349,-0.25207,1.24819,0.00002,,-0.0209,0.0075,19,87.74,0.0065,0.0069,0.0075,90.28,817
ETH-26JUN26-1500-C,-,18,,7.3783,-0.5628,3.07862,0.00006,,0.93686,0.56,10,78.88,0.5525,0.5538,0.555,81.49,18
ETH-26JUN26-1500-P,113,6049,,-1.64647,-0.56284,3.07886,0.00006,,-0.06315,0.0235,15,79.95,0.022,0.0223,0.023,80.99,142
ETH-26JUN26-2000-C,2,137,,8.38304,-0.92829,5.42051,0.00012,,0.86396,0.407,10,74.46,0.4275,0.4288,0.4305,76.23,18
ETH-26JUN26-2000-P,760,9030,,-3.64973,-0.92829,5.42051,0.00012,,-0.13604,0.058,55,74.96,0.053,0.0534,0.0545,75.85,48
ETH-26JUN26-2200-C,-,92,,8.50722,-1.07387,6.3672,0.00014,,0.82647,0.446,10,73.41,0.3835,0.3848,0.3865,74.92,18
ETH-26JUN26-2200-P,-,6433,,-4.72882,-1.07387,6.3672,0.00014,,-0.17353,0.0755,18,73.84,0.0715,0.072,0.0735,74.84,58
ETH-26JUN26-2400-C,2,7,,8.49191,-1.209,7.24471,0.00016,,0.78558,0.3325,18,72.75,0.3435,0.3447,0.3465,74.08,18
ETH-26JUN26-2400-P,61,2417,,-5.9474,-1.209,7.24471,0.00016,,-0.21442,0.098,138,72.92,0.0935,0.0943,0.096,74.03,48
ETH-26JUN26-2500-C,-,5,,8.44212,-1.26986,7.64459,0.00017,,0.76426,0.375,18,72.54,0.325,0.326,0.3285,74.01,10
ETH-26JUN26-2500-P,44,2491,,-6.59828,-1.26984,7.64448,0.00017,,-0.23571,0.1235,136,72.61,0.106,0.1068,0.1085,73.66,43
ETH-26JUN26-2600-C,-,1310,,8.36715,-1.32604,8.01467,0.00018,,0.74255,0.313,18,72.19,0.307,0.3082,0.31,73.39,18
ETH-26JUN26-2600-P,14,5432,,-7.27545,-1.32604,8.01467,0.00018,,-0.25745,0.124,18,72.37,0.1195,0.1202,0.122,73.37,43
ETH-26JUN26-2800-C,-,777,,8.15152,-1.42247,8.65728,0.00019,,0.69824,0.28,5,71.77,0.274,0.2751,0.277,72.88,38
