Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-5DEC25-2200-C,-,1,,0.94228,-1.63058,0.54508,0.00012,,0.96267,0.3065,-,-,-,0.3023,-,-,-
ETH-5DEC25-2200-P,90,595,,-0.05815,-1.63058,0.54508,0.00012,,-0.03733,0.0055,18,98.62,0.0033,0.0034,0.0037,100.89,61
ETH-5DEC25-2400-C,-,-,,0.98085,-2.50156,0.90648,0.00022,,0.92918,-,5,-,0.227,0.2418,0.2655,149.4,5
ETH-5DEC25-2400-P,936,3896,,-0.11052,-2.50156,0.90648,0.00022,,-0.07082,0.006,1754,89.35,0.006,0.0066,0.007,92.84,866
ETH-5DEC25-2600-C,-,-,,0.97951,-3.60802,1.41112,0.00037,,0.87057,-,5,75.15,0.18,0.1841,0.198,112.01,5
ETH-5DEC25-2600-P,403,1024,,-0.20281,-3.60802,1.41112,0.00037,,-0.12943,0.012,29,83.27,0.0125,0.0127,0.013,85.51,748
ETH-5DEC25-2700-C,-,-,,0.95703,-4.22301,1.70712,0.00046,,0.82781,-,5,77.28,0.155,0.1571,0.1665,99.25,5
ETH-5DEC25-2700-P,129,1406,,-0.27076,-4.22301,1.70712,0.00046,,-0.17219,0.0165,1393,81.07,0.017,0.0176,0.018,82.91,770
ETH-5DEC25-2800-C,118,98,,0.9172,-4.83015,2.00871,0.00056,,0.77461,0.1125,88,77.01,0.13,0.1318,0.133,81.71,18
ETH-5DEC25-2800-P,516,1390,,-0.35606,-4.83015,2.00871,0.00056,,-0.22539,0.0246,1821,78.79,0.0235,0.0242,0.0245,80.36,185
ETH-5DEC25-2900-C,9,23,,0.86021,-5.35923,2.28507,0.00066,,0.71143,0.0955,83,75.72,0.107,0.1085,0.1095,79.16,18
ETH-5DEC25-2900-P,585,1180,,-0.45853,-5.35923,2.28507,0.00066,,-0.28857,0.032,5,77.46,0.0325,0.0328,0.0335,78.84,1254
ETH-5DEC25-2950-C,-,-,,0.82548,-5.58013,2.404,0.0007,,0.67638,-,5,75.95,0.097,0.0978,0.099,78.56,23
ETH-5DEC25-2950-P,324,318,,-0.516,-5.58013,2.404,0.0007,,-0.32362,0.0545,90,76.38,0.0375,0.038,0.0385,77.68,186
