high,low,last,instrument_name,bid_price,ask_price,open_interest,mark_price,creation_timestamp,price_change,interest_rate,volume,mark_iv,underlying_price,underlying_index,estimated_delivery_price,base_currency,quote_currency,volume_usd,mid_price,expiry,strike,option_type,T,implied_r
0.1015,0.0945,0.099,ETH-26JUN26-4200-C,0.0965,0.099,440.0,0.097546,1763777713871,-1.0,0.0,282.0,74.36,2812.56,ETH-26JUN26,2758.38,ETH,ETH,77077.87,0.09775,2026-06-26,4200.0,C,0.5913757700205339,-0.0031797411212566924
,,,ETH-26JUN26-7500-P,1.5605,1.8545,0.0,1.690749,1763777713871,,0.0,0.0,80.87,2812.56,ETH-26JUN26,2758.38,ETH,ETH,0.0,1.7075,2026-06-26,7500.0,P,0.5913757700205339,-0.00010053014915654116
0.043,0.0335,0.0385,ETH-30JAN26-3700-C,0.038,0.0395,3163.0,0.038546,1763777713871,-10.4651,0.0,313.0,74.7,2775.542307692308,SYN.ETH-30JAN26,2758.38,ETH,ETH,32699.99,0.03875,2026-01-30,3700.0,C,0.188911704312115,-0.02656633618349324
0.0185,0.0085,0.01,ETH-28NOV25-3050-C,0.0095,0.0105,3574.0,0.010151,1763777713871,-37.5,0.0,2030.0,80.54,2759.61,ETH-28NOV25,2758.38,ETH,ETH,70700.47,0.01,2025-11-28,3050.0,C,0.01642710472279261,-3.552393548700518
,,,ETH-25SEP26-8500-P,1.8755,2.2165,0.0,2.025884,1763777713871,,0.0,0.0,79.75,2842.28,ETH-25SEP26,2758.38,ETH,ETH,0.0,2.046,2026-09-25,8500.0,P,0.840520191649555,7.199459593112953e-05
0.2385,0.181,0.2385,ETH-26DEC25-3200-P,0.1915,0.2005,23235.0,0.196274,1763777713871,31.768,0.0,289.0,75.27,2766.06,ETH-26DEC25,2758.38,ETH,ETH,172080.4,0.196,2025-12-26,3200.0,P,0.09308692676249145,-0.009018447976287992
,,0.074,ETH-24NOV25-3025-P,0.0495,0.1525,39.0,0.097717,1763777713871,,0.0,0.0,72.41,2759.2386472839676,SYN.ETH-24NOV25,2758.38,ETH,ETH,0.0,0.101,2025-11-24,3025.0,P,0.0054757015742642025,-0.7756066528285276
0.002,0.0016,0.002,ETH-5DEC25-4000-C,0.0013,0.0017,15072.0,0.001423,1763777713871,5.2632,0.0,10.0,93.17,2761.53,ETH-5DEC25,2758.38,ETH,ETH,52.8,0.0015,2025-12-05,4000.0,C,0.03559206023271732,-1.7991950564492278
0.068,0.065,0.0655,ETH-26JUN26-5000-C,0.0635,0.066,3926.0,0.064616,1763777713871,-3.6765,0.0,327.0,75.73,2812.56,ETH-26JUN26,2758.38,ETH,ETH,59942.85,0.06475,2026-06-26,5000.0,C,0.5913757700205339,-0.004450947488391872
0.28,0.28,0.28,ETH-25SEP26-2400-C,0.3265,0.332,1.0,0.328666,1763777713871,0.0,0.0,1.0,73.52,2842.28,ETH-25SEP26,2758.38,ETH,ETH,749.25,0.32925,2026-09-25,2400.0,C,0.840520191649555,-0.0006645792878036487
0.0024,0.0014,0.0018,ETH-28NOV25-3500-C,0.0011,0.0014,11201.0,0.001223,1763777713871,-5.2632,0.0,527.0,91.93,2759.61,ETH-28NOV25,2758.38,ETH,ETH,3311.01,0.00125,2025-11-28,3500.0,C,0.01642710472279261,-7.886660715613833
0.277,0.277,0.277,ETH-5DEC25-3500-P,0.2145,0.342,36.0,0.272558,1763777713871,0.0,0.0,1.0,82.76,2761.53,ETH-5DEC25,2758.38,ETH,ETH,761.42,0.27825,2025-12-05,3500.0,P,0.03559206023271732,-0.021603932786445547
,,,ETH-30JAN26-7000-P,1.4135,1.654,0.0,1.524713,1763777713871,,0.0,0.0,93.14,2775.8561538461536,SYN.ETH-30JAN26,2758.38,ETH,ETH,0.0,1.53375,2026-01-30,7000.0,P,0.188911704312115,-0.0019048229093579783
0.404,0.393,0.393,ETH-26DEC25-3800-P,0.3805,0.39,7894.0,0.385607,1763777713871,-2.7228,0.0,69.0,78.17,2766.24,ETH-26DEC25,2758.38,ETH,ETH,75556.61,0.38525,2025-12-26,3800.0,P,0.09308692676249145,-0.001594667764459261
0.0865,0.08,0.0855,ETH-26JUN26-4500-C,0.082,0.0845,1010.0,0.083096,1763777713871,6.875,0.0,83.0,74.84,2812.38,ETH-26JUN26,2758.38,ETH,ETH,19810.72,0.08325,2026-06-26,4500.0,C,0.5913757700205339,-0.0039569657759748016
,,0.031,ETH-23NOV25-2975-P,0.0755,0.081,101.0,0.078757,1763777713872,,0.0,0.0,66.45,2759.0383091049594,SYN.ETH-23NOV25,2758.38,ETH,ETH,0.0,0.07825,2025-11-23,2975.0,P,0.0027378507871321013,-1.3440995838303653
0.492,0.3805,0.416,ETH-26DEC25-3900-P,0.418,0.4225,2215.0,0.4198,1763777713872,8.1925,0.0,125.0,79.06,2766.24,ETH-26DEC25,2758.38,ETH,ETH,152895.46,0.42025,2025-12-26,3900.0,P,0.09308692676249145,-0.0009257299359056693
,,0.0155,ETH-27MAR26-1600-P,0.021,0.0225,5126.0,0.021802,1763777713872,,0.0,0.0,81.98,2789.56,ETH-27MAR26,2758.38,ETH,ETH,0.0,0.02175,2026-03-27,1600.0,P,0.34223134839151265,-0.009992978996819297
0.0005,0.0002,0.0002,ETH-24NOV25-3400-C,0.0001,0.0003,814.0,0.000144,1763777713872,-60.0,0.0,564.0,103.71,2759.2386472839676,SYN.ETH-24NOV25,2758.38,ETH,ETH,732.17,0.0002,2025-11-24,3400.0,C,0.0054757015742642025,
0.018,0.013,0.0135,ETH-12DEC25-3400-C,0.0135,0.0145,1186.0,0.013905,1763777713872,-22.8571,0.0,1306.0,79.37,2763.186666666667,SYN.ETH-12DEC25,2758.38,ETH,ETH,58343.56,0.014,2025-12-12,3400.0,C,0.05475701574264202,-0.3522651135082044
,,0.1385,ETH-25SEP26-4600-C,0.1165,0.12,562.0,0.118028,1763777713872,,0.0,0.0,74.12,2842.1,ETH-25SEP26,2758.38,ETH,ETH,0.0,0.11825,2026-09-25,4600.0,C,0.840520191649555,-0.0020737193188987047
0.0027,0.0024,0.0027,ETH-27MAR26-11000-C,0.0021,0.0028,4587.0,0.002402,1763777713872,12.5,0.0,22.0,95.07,2789.74,ETH-27MAR26,2758.38,ETH,ETH,143.58,0.00245,2026-03-27,11000.0,C,0.34223134839151265,-0.033496450526003474
,,0.3945,ETH-25SEP26-3800-P,0.4095,0.632,682.0,0.503332,1763777713872,,0.0,0.0,73.38,2842.28,ETH-25SEP26,2758.38,ETH,ETH,0.0,0.52075,2026-09-25,3800.0,P,0.840520191649555,-0.0002669126920095605
0.0002,0.0001,0.0002,ETH-28NOV25-8000-C,,0.0001,3116.0,0.0,1763777713872,100.0,0.0,501.0,179.91,2759.61,ETH-28NOV25,2758.38,ETH,ETH,267.7,,2025-11-28,8000.0,C,0.01642710472279261,
,,0.8645,ETH-27MAR26-500-C,0.8205,0.823,905.0,0.821306,1763777713872,,0.0,0.0,116.47,2789.74,ETH-27MAR26,2758.38,ETH,ETH,0.0,0.82175,2026-03-27,500.0,C,0.34223134839151265,-7.62969701981884e-05
